[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: GET_STORE_ROLE_INFO_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: MANAGER_UPDATE_PRODUCT_QUANTITY_START
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: MANAGER_UPDATE_PRODUCT_QUANTITY_SUCCESS
[2025-05-14 20:24:42] User: user1 | Event: Event | Description: SEND_MANAGEMENT_PROPOSAL_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: DEFINE_PURCHASE_POLICY_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: DEFINE_PURCHASE_POLICY_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: RESPOND_TO_CUSTOMER_INQUIRY_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: RESPOND_TO_CUSTOMER_INQUIRY_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: REMOVE_PRODUCT_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: REMOVE_PRODUCT_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: GET_STORE_ROLE_INFO_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: UPDATE_PRODUCT_DETAILS_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: UPDATE_PRODUCT_DETAILS_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: APPOINT_STORE_OWNER_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: APPOINT_STORE_OWNER_SUCCESS
[2025-05-14 20:24:42] User: user1 | Event: Event | Description: RESPOND_TO_OWNER_APPOINTMENT_START
[2025-05-14 20:24:42] User: user1 | Event: Event | Description: RESPOND_TO_OWNER_APPOINTMENT_SUCCESS
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: MANAGER_UPDATE_PRODUCT_QUANTITY_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: UPDATE_MANAGER_PERMISSIONS_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: UPDATE_MANAGER_PERMISSIONS_SUCCESS
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: MANAGER_REMOVE_PRODUCT_START
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: MANAGER_REMOVE_PRODUCT_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: ADD_PRODUCT_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: ADD_PRODUCT_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: REMOVE_STORE_OWNER_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: REMOVE_STORE_OWNER_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: DEFINE_PURCHASE_POLICY_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: RESPOND_TO_CUSTOMER_INQUIRY_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: REMOVE_PURCHASE_POLICY_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: REMOVE_PURCHASE_POLICY_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: REMOVE_PRODUCT_START
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: RELINQUISH_MANAGEMENT_START
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: RELINQUISH_MANAGEMENT_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: UPDATE_PURCHASE_POLICY_START
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: UPDATE_PURCHASE_POLICY_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: UPDATE_PRODUCT_DETAILS_START
[2025-05-14 20:24:42] User: founder1 | Event: Event | Description: REOPEN_STORE_START
[2025-05-14 20:24:42] User: founder1 | Event: Event | Description: REOPEN_STORE_SUCCESS
[2025-05-14 20:24:42] User: owner1 | Event: Event | Description: APPOINT_STORE_OWNER_START
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: MANAGER_ADD_PRODUCT_START
[2025-05-14 20:24:42] User: manager1 | Event: Event | Description: MANAGER_ADD_PRODUCT_SUCCESS
[2025-05-14 20:24:42] User: founder1 | Event: Event | Description: CLOSE_STORE_START
[2025-05-14 20:24:42] User: founder1 | Event: Event | Description: CLOSE_STORE_SUCCESS
[2025-05-14 20:24:42] User: user1 | Event: Event | Description: RESPOND_TO_OWNER_APPOINTMENT_START
[2025-05-14 20:24:42] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-05-14 20:24:42] User: removeProduct | Event: Event | Description: Product not found in cart
[2025-05-14 20:24:42] User: removeProduct | Event: Event | Description: Shopping bag removed from cart
[2025-05-14 20:24:42] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-05-14 20:24:42] User: alice | Event: Event | Description: LOGOUT_SUCCESS
[2025-05-14 20:24:42] User: alice | Event: Event | Description: LOGIN_FAILED - USER_NOT_EXIST
[2025-05-14 20:24:42] User: alice | Event: Event | Description: SIGNUP_FAILED - EMPTY
[2025-05-14 20:24:42] User: alice | Event: Event | Description: LOGIN_FAILED - WRONG_PASSWORD
[2025-05-14 20:24:42] User: null | Event: Event | Description: LOGIN_FAILED - NULL
[2025-05-14 20:24:42] User: null | Event: Event | Description: SIGNUP_FAILED - NULL
[2025-05-14 20:24:42] User: alice | Event: Event | Description: LOGOUT_FAILED - TOKEN_NULL
[2025-05-14 20:24:42] User: Guest | Event: Event | Description: LOGOUT_FAILED - GUEST
[2025-05-14 20:24:42] User: u | Event: Event | Description: LOGIN_FAILED - EMPTY
[2025-05-14 20:24:42] User:  | Event: Event | Description: LOGOUT_FAILED - USER_EMPTY
[2025-05-14 20:24:42] User: alice | Event: Event | Description: LOGOUT_FAILED - TOKEN_EMPTY
[2025-05-14 20:24:42] User: null | Event: Event | Description: LOGOUT_FAILED - USER_NULL
[2025-05-14 20:24:42] User:  | Event: Event | Description: SIGNUP_FAILED - EMPTY
[2025-05-14 20:24:42] User: alice | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-14 20:24:42] User: u | Event: Event | Description: LOGIN_FAILED - NULL
[2025-05-14 20:24:42] User: alice | Event: Event | Description: SIGNUP_FAILED - NULL
[2025-05-14 20:24:42] User: alice | Event: Event | Description: LOGIN_SUCCESS
[2025-05-14 20:24:42] User:  | Event: Event | Description: LOGIN_FAILED - EMPTY
[2025-05-14 20:24:42] User: SEARCH_BY_CATEGORY | Event: Event | Description: Category=accessories Matches=1
[2025-05-14 20:24:42] User: SEARCH_BY_NAME | Event: Event | Description: Query=Socks Matches=1
[2025-05-16 10:21:40] User: a | Event: Event | Description: LOGIN
[2025-05-16 10:21:40] User: a | Event: Event | Description: TokenService
[2025-05-16 10:21:40] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 10:24:01] User: a | Event: Event | Description: LOGIN
[2025-05-16 10:24:01] User: a | Event: Event | Description: TokenService
[2025-05-16 10:24:01] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 10:24:13] User: b | Event: Event | Description: LOGIN
[2025-05-16 10:24:13] User: b | Event: Event | Description: TokenService
[2025-05-16 10:24:13] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 10:29:16] User: a | Event: Event | Description: LOGIN
[2025-05-16 10:29:16] User: a | Event: Event | Description: TokenService
[2025-05-16 10:29:16] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 10:29:25] User: b | Event: Event | Description: LOGIN
[2025-05-16 10:29:25] User: b | Event: Event | Description: TokenService
[2025-05-16 10:29:25] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 10:37:23] User: a | Event: Event | Description: LOGIN
[2025-05-16 10:37:23] User: a | Event: Event | Description: TokenService
[2025-05-16 10:37:23] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 10:37:29] User: b | Event: Event | Description: LOGIN
[2025-05-16 10:37:29] User: b | Event: Event | Description: TokenService
[2025-05-16 10:37:29] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 10:43:19] User: a | Event: Event | Description: LOGIN
[2025-05-16 10:43:19] User: a | Event: Event | Description: TokenService
[2025-05-16 10:43:19] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 10:43:26] User: b | Event: Event | Description: LOGIN
[2025-05-16 10:43:26] User: b | Event: Event | Description: TokenService
[2025-05-16 10:43:26] User: b | Event: Event | Description: LOGIN_SUCCESS
[2025-05-16 17:54:12] User: a | Event: Event | Description: LOGIN
[2025-05-16 17:54:13] User: a | Event: Event | Description: TokenService
[2025-05-16 17:54:13] User: a | Event: Event | Description: LOGIN_SUCCESS
