[2025-06-28 04:29:45] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:29:45] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 04:29:45] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 04:29:48] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:29:48] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:29:48] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:29:48] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:30:06] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:30:06] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:30:12] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-06-28 04:30:12] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-06-28 04:30:16] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-06-28 04:30:16] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-06-28 04:30:18] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:30:18] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:30:21] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:30:23] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:30:23] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:30:23] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:30:24] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:30:25] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:30:25] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:30:25] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:30:25] User: removeProduct | Event: Event | Description: Shopping bag removed from cart
[2025-06-28 04:30:25] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:30:25] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:30:32] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:30:32] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:30:35] User: removeProduct | Event: Event | Description: Shopping bag removed from cart
[2025-06-28 04:30:35] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:30:35] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:30:37] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:30:37] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:30:42] User: removeProduct | Event: Event | Description: Shopping bag removed from cart
[2025-06-28 04:30:42] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:30:42] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:30:48] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:30:48] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:30:48] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 04:30:48] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 04:30:49] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:30:49] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 04:30:49] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 04:30:52] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:30:55] User: a | Event: Event | Description: UPDATE_DISCOUNT_POLICY_START
[2025-06-28 04:30:55] User: a | Event: Event | Description: UPDATE_DISCOUNT_POLICY_SUCCESS
[2025-06-28 04:30:55] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:30:58] User: a | Event: Event | Description: UPDATE_DISCOUNT_POLICY_START
[2025-06-28 04:30:58] User: a | Event: Event | Description: UPDATE_DISCOUNT_POLICY_SUCCESS
[2025-06-28 04:30:58] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:34] User: a | Event: Event | Description: SEARCH_STORE_FAILED: java.lang.IllegalArgumentException - Store not found
[2025-06-28 04:31:34] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:34] User: a | Event: Event | Description: DEFINE_DISCOUNT_POLICY_START
[2025-06-28 04:31:34] User: a | Event: Event | Description: DEFINE_DISCOUNT_POLICY_SUCCESS
[2025-06-28 04:31:34] User: a | Event: Event | Description: Discount successfully added
[2025-06-28 04:31:34] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:36] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:36] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:36] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 04:31:36] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 04:31:40] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:31:40] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:31:46] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-06-28 04:31:46] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-06-28 04:31:48] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:48] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:48] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 04:31:48] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 04:31:49] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:49] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 04:31:49] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 04:31:50] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:56] User: a | Event: Event | Description: SEARCH_STORE_FAILED: java.lang.IllegalArgumentException - Store not found
[2025-06-28 04:31:56] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:56] User: a | Event: Event | Description: DEFINE_DISCOUNT_POLICY_START
[2025-06-28 04:31:56] User: a | Event: Event | Description: DEFINE_DISCOUNT_POLICY_SUCCESS
[2025-06-28 04:31:56] User: a | Event: Event | Description: Discount successfully added
[2025-06-28 04:31:56] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:57] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:57] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:31:57] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 04:31:57] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 04:32:46] User: removeProduct | Event: Event | Description: Shopping bag removed from cart
[2025-06-28 04:32:46] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:32:46] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:32:48] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:32:48] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:32:48] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:32:48] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:32:50] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:32:51] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:32:51] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:32:52] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:32:52] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:32:52] User: removeProduct | Event: Event | Description: Shopping bag removed from cart
[2025-06-28 04:32:52] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:32:52] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:32:54] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:32:54] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:32:55] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:32:55] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:32:57] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:32:57] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:32:57] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:32:57] User: removeProduct | Event: Event | Description: Shopping bag removed from cart
[2025-06-28 04:32:57] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:32:57] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:32:59] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:32:59] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:32:59] User: a | Event: Event | Description: ADD_TO_CART_SUCCESS
[2025-06-28 04:32:59] User: a | Event: Event | Description: ADD_TO_CART
[2025-06-28 04:33:00] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:33:00] User: SEARCH_STORE_BY_ID | Event: Event | Description: Store=f4454d0c-cd21-422c-8be8-4bd1c4c782b7 FOUND
[2025-06-28 04:33:00] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_START
[2025-06-28 04:33:00] User: a | Event: Event | Description: GET_MANAGER_PERMISSIONS_SUCCESS
[2025-06-28 04:33:03] User: a | Event: Event | Description: REMOVE_FROM_CART_FAILED null
[2025-06-28 04:33:03] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:33:03] User: a | Event: Event | Description: REMOVE_FROM_CART
[2025-06-28 04:33:03] User: removeProduct | Event: Event | Description: Shopping bag removed from cart
[2025-06-28 04:33:03] User: removeProduct | Event: Event | Description: Product removed from cart
[2025-06-28 04:33:03] User: a | Event: Event | Description: REMOVE_FROM_CART
